,Ticker,Company,MS,MBI,MB,CNN,BS
606,AIDA,AIDA Pharmaceuticals Inc,False,False,False,True,False
607,AIDC,AI Document Services Inc,False,False,False,False,False
608,AIEDF,Access International Education Ltd,False,False,False,False,False
609,AIERF,Asian Mineral Resources Ltd,False,False,False,True,False
610,AIFIF,Asia Financial Holdings Ltd,False,False,False,True,False
611,AIFLY,Aiful Corp,False,False,False,True,False
612,AIFM,AIFarm Ltd,False,False,False,True,False
613,AIFS,Agent Information Software Inc,False,False,True,True,False
614,AIG,American International Group Inc,True,True,True,True,True
615,AIGI,Artistmss International Group Inc,False,False,False,False,False
616,AIH,Aesthetic Medical International Holdings Group Ltd,False,True,True,True,False
617,AIHLF,Adcock Ingram Holdings Ltd,False,False,False,False,False
618,AIHS,Senmiao Technology Ltd,False,True,True,True,True
619,AIII,ACRE Realty Investors Inc,False,False,True,False,True
620,AIKI,AIkido Pharma Inc,False,True,False,True,False
621,AILQF,Airiq Inc,False,False,False,True,False
622,AIM,AIM ImmunoTech Inc,False,True,,True,False
623,AIMC,Altra Industrial Motion Corp,False,True,True,True,True
624,AIMSF,AIMS APAC REIT,False,False,False,False,False
625,AIMT,Aimmune Therapeutics Inc,False,True,True,True,False
626,AIN,Albany International Corp,True,True,True,True,True
627,AINC,Ashford Inc,False,True,True,True,True
628,AINPF,Ain Holdings Inc,False,False,False,True,False
629,AINSF,Ainsworth Game Technology Ltd,False,False,False,True,False
630,AINV,Apollo Investment Corp,False,True,True,True,False
631,AIOAF,Sarossa PLC,False,False,False,True,False
632,AIOCF,Avigilon Corp,False,False,True,False,False
633,AIOSF,Atresmedia Corporacion de Medios de Comunicacion S,False,False,True,True,False
634,AIOYY,Asciano Ltd,False,False,False,False,False
635,AIPBF,Airports Of Thailand PLC,False,False,False,False,False
636,AIPUF,Airports Of Thailand PLC,False,False,False,True,False
637,AIPUY,Airports Of Thailand PLC,False,False,True,True,False
638,AIQ,Alliance HealthCare Services Inc,False,True,True,True,True
639,AIQUF,Air Liquide SA,False,False,False,True,False
640,AIQUY,Air Liquide SA,False,False,True,True,True
641,AIR,AAR Corp,True,True,True,True,True
642,AIRG,Airgain Inc,False,True,True,True,True
643,AIRI,Air Industries Group,False,True,True,True,True
644,AIRM,Air Methods Corp,False,True,True,False,False
